Watershed,LocalInflow CalLite node,"CalSim II arc (I arcs in SV have C arcs exactly equal in DV that I'm using instead, but many non-DSM I arcs contributing to local inflow are pulled from SV in the specific csvs)",Notes,Adapted from the Google Doc (https://docs.google.com/spreadsheets/d/1FpO5moi003WxAz0-RqLlGkueru8lzsOtWV94rKkpzsc) as of about 1 PM 100417. I'm ignoring R_ (recharge) arcs but they're generally very small,,,
Antelope Creek,WilkinsSlough,C11307,Accretions to Wilkins Slough,,,,
Battle Creek,RedBluff,,Accretions to Red Bluff,,,,NEED TO GO THROUGH A FEW OF EM BUT GETTING WILKINSSL GOING RIGHT NOW
Bear Creek,,,,,,,so when sadie sees this ca. 100417 she should know I'm going to fill up the non-WilkinsSlough columns B and C appropriately…
Big Chico Creek,WilkinsSlough,C11501,Accretions to Wilkins Slough,,,,
Butte Creek,,,Unclear - may be showing at SacFeather as an accretion? Node 217,,,,
Cottonwood Creek,RedBluff,,Accretions to Red Bluff,,,,
Cow Creek,RedBluff,,Accretions to Red Bluff,,,,
Deer Creek,WilkinsSlough,C11309,Accretions to Wilkins Slough,,,,
Elder Creek,WilkinsSlough,C11303,Accretions to Wilkins Slough,,,,
Mill Creek,WilkinsSlough,C11308,Accretions to Wilkins Slough,,,,
Paynes Creek,RedBluff,,Accretions to Red Bluff,,,,
Stony Creek,WilkinsSlough,C142A,Accretions to Wilkins Slough,,,PROBLEM for C142A; fairly frequent 0s. Upriver Stony Creek C_ arcs also have 0s…,
Thomes Creek,WilkinsSlough,C11304,Accretions to Wilkins Slough,,,,
Bear River,YubaFeather,,Need to back out flows as acretions to Yuba-Feather node,,,,
Cosumnes River,Eastside,,"Referred to as rim inflows. Takes 504 as a time series (confluence of Moke and Cosumnes). May need to use gage data to tease out flow splits. 504 is fictional confluence, 501/504",,,,
Mokelumne River,Eastside,,Referred to as rim inflows. Takes 504 as a time series (confluence of Moke and Cosumnes). May need to use gage data to tease out flow splits,,,,
